Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
885 211 1 12.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  36.42 -1.00 -1.00 -1.00 |  321.50 1208.00 297.50 389.00 345.50 228.00
886 211 1 16.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  31.44 -1.00 -1.00 -1.00 |  325.50 1139.00 301.50 596.00 349.50 131.00
887 211 1 20.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  48.72 -1.00 -1.00 -1.00 |  329.50 814.00 305.50 728.00 353.50 66.00
888 211 1 24.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  32.03 -1.00 -1.00 -1.00 |  309.50 1000.00 332.50 702.00 285.50 102.00
889 211 1 0.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  39.67 -1.00 -1.00 -1.00 |  310.50 1055.00 334.50 610.00 286.50 110.00
890 211 1 4.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  39.39 -1.00 -1.00 -1.00 |  313.50 1235.00 337.50 445.00 290.50 181.00
891 211 1 8.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  39.20 -1.00 -1.00 -1.00 |  318.50 1241.00 341.50 261.00 294.50 256.00
892 211 1 12.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  38.95 -1.00 -1.00 -1.00 |  321.50 1185.00 297.50 394.00 345.50 196.00
893 211 1 16.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  42.55 -1.00 -1.00 -1.00 |  325.50 1015.00 301.50 587.00 349.50 151.00
894 211 1 20.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  57.22 -1.00 -1.00 -1.00 |  329.50 854.00 305.50 741.00 353.50 69.00
895 211 1 24.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  45.21 -1.00 -1.00 -1.00 |  309.50 1015.00 333.50 633.00 285.50 90.00
896 211 1 0.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  61.08 -1.00 -1.00 -1.00 |  334.50 1058.00 310.50 514.00 358.50 68.00
897 211 1 4.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  53.13 -1.00 -1.00 -1.00 |  337.50 823.00 313.50 742.00 289.50 42.00
898 211 1 8.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  51.22 -1.00 -1.00 -1.00 |  317.50 984.00 341.50 644.00 293.50 56.00
899 211 1 12.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  47.97 -1.00 -1.00 -1.00 |  321.50 1178.00 345.50 432.00 297.50 102.00
900 211 1 16.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  55.47 -1.00 -1.00 -1.00 |  325.50 1236.00 349.50 267.00 301.50 188.00
901 211 1 20.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  67.72 -1.00 -1.00 -1.00 |  329.50 1113.00 305.50 281.00 353.50 150.00
902 211 1 24.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  57.92 -1.00 -1.00 -1.00 |  333.50 1067.00 309.50 493.00 356.50 94.00
903 211 1 0.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  57.29 -1.00 -1.00 -1.00 |  334.50 1063.00 310.50 546.00 358.50 81.00
904 211 1 4.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  58.93 -1.00 -1.00 -1.00 |  337.50 887.00 313.50 712.00 289.50 42.00
905 211 1 8.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  56.79 -1.00 -1.00 -1.00 |  318.50 1040.00 342.50 629.00 294.50 54.00
906 211 1 12.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  45.66 -1.00 -1.00 -1.00 |  321.50 1158.00 345.50 416.00 297.50 105.00
907 211 1 16.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  47.40 -1.00 -1.00 -1.00 |  325.50 1239.00 349.50 247.00 301.50 181.00
908 211 1 20.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  61.26 -1.00 -1.00 -1.00 |  329.50 1213.00 305.50 277.00 352.50 166.00
909 211 1 24.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  67.13 -1.00 -1.00 -1.00 |  332.50 971.00 309.50 460.00 356.50 94.00
910 211 1 0.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  51.67 -1.00 -1.00 -1.00 |  334.50 1356.00 310.50 195.00 357.50 178.00
911 211 1 4.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  49.84 -1.00 -1.00 -1.00 |  337.50 1378.00 313.50 311.00 361.50 94.00
912 211 1 8.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  39.92 -1.00 -1.00 -1.00 |  341.50 1178.00 317.50 565.00 365.50 31.00
913 211 1 12.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  50.66 -1.00 -1.00 -1.00 |  345.50 922.00 321.50 774.00 297.50 46.00
914 211 1 16.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  56.81 -1.00 -1.00 -1.00 |  325.50 1020.00 349.50 668.00 301.50 75.00
915 211 1 20.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  61.25 -1.00 -1.00 -1.00 |  329.50 1238.00 353.50 365.00 305.50 79.00
916 211 1 24.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  52.48 -1.00 -1.00 -1.00 |  333.50 1411.00 356.50 213.00 309.50 161.00
917 211 1 0.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  62.20 -1.00 -1.00 -1.00 |  334.50 1332.00 310.50 201.00 357.50 185.00
918 211 1 4.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  67.37 -1.00 -1.00 -1.00 |  337.50 1155.00 313.50 286.00 361.50 88.00
919 211 1 8.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  51.28 -1.00 -1.00 -1.00 |  341.50 1158.00 317.50 578.00 293.50 38.00
920 211 1 12.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  63.36 -1.00 -1.00 -1.00 |  321.50 759.00 345.50 724.00 297.50 48.00
921 211 1 16.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  37.36 -1.00 -1.00 -1.00 |  325.50 1146.00 349.50 579.00 301.50 58.00
922 211 1 20.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  59.69 -1.00 -1.00 -1.00 |  329.50 1259.00 353.50 362.00 305.50 123.00
923 211 1 24.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  59.36 -1.00 -1.00 -1.00 |  333.50 1362.00 356.50 191.00 309.50 154.00
925 13 1 0.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.83 -1.00 -1.00 -1.00 |  331.50 3333.00 355.50 1432.00 307.50 98.00
928 13 1 4.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.63 -1.00 -1.00 -1.00 |  335.50 3819.00 358.50 874.00 311.50 173.00
931 13 1 8.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  9.78 -1.00 -1.00 -1.00 |  339.50 4112.00 315.50 410.00 362.50 340.00
934 13 1 12.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.16 -1.00 -1.00 -1.00 |  342.50 3920.00 319.50 821.00 366.50 134.00
937 211 1 0.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.58 -1.00 -1.00 -1.00 |  331.50 5734.00 355.50 2439.00 307.50 210.00
940 211 1 4.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.45 -1.00 -1.00 -1.00 |  335.50 7179.00 358.50 1561.00 311.50 458.00
943 211 1 8.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.91 -1.00 -1.00 -1.00 |  339.50 7233.00 315.50 978.00 362.50 646.00
946 211 1 12.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.05 -1.00 -1.00 -1.00 |  342.50 6689.00 319.50 1718.00 366.50 277.00
949 211 1 16.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.98 -1.00 -1.00 -1.00 |  346.50 5573.00 322.50 2984.00 299.50 283.00
952 211 1 20.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.37 -1.00 -1.00 -1.00 |  326.50 4305.00 350.50 4253.00 302.50 370.00
955 211 1 24.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.79 -1.00 -1.00 -1.00 |  330.50 5650.00 353.50 2848.00 306.50 395.00
958 211 1 0.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.67 -1.00 -1.00 -1.00 |  331.50 5847.00 355.50 1001.00 307.50 913.00
961 211 1 4.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.01 -1.00 -1.00 -1.00 |  335.50 5686.00 311.50 1720.00 358.50 574.00
964 211 1 8.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.42 -1.00 -1.00 -1.00 |  338.50 5216.00 315.50 2696.00 362.50 275.00
967 211 1 12.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.57 -1.00 -1.00 -1.00 |  342.50 4273.00 318.50 3948.00 295.50 150.00
970 211 1 16.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.27 -1.00 -1.00 -1.00 |  322.50 5094.00 346.50 3214.00 299.50 250.00
973 211 1 20.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.66 -1.00 -1.00 -1.00 |  326.50 5907.00 350.50 1984.00 302.50 436.00
976 211 1 24.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.24 -1.00 -1.00 -1.00 |  330.50 6401.00 353.50 1258.00 306.50 797.00
979 211 1 0.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  15.92 -1.00 -1.00 -1.00 |  331.50 5389.00 307.50 1659.00 355.50 567.00
982 211 1 4.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  16.69 -1.00 -1.00 -1.00 |  334.50 4649.00 311.50 2552.00 358.50 304.00
985 211 1 8.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.03 -1.00 -1.00 -1.00 |  338.50 3738.00 315.50 3179.00 362.50 201.00
988 211 1 12.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.75 -1.00 -1.00 -1.00 |  318.50 4428.00 342.50 2914.00 295.50 268.00
991 211 1 16.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.10 -1.00 -1.00 -1.00 |  322.50 5428.00 346.50 2079.00 299.50 453.00
994 211 1 20.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.69 -1.00 -1.00 -1.00 |  326.50 6150.00 350.50 1426.00 302.50 774.00
997 211 1 24.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.88 -1.00 -1.00 -1.00 |  330.50 5874.00 307.50 1485.00 354.50 785.00
1001 211 1 0.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.79 -1.00 -1.00 -1.00 |  331.50 4459.00 307.50 3042.00 355.50 448.00
1004 211 1 4.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.79 -1.00 -1.00 -1.00 |  311.50 3967.00 334.50 3642.00 287.50 232.00
1007 211 1 8.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  17.93 -1.00 -1.00 -1.00 |  315.50 4540.00 338.50 2394.00 291.50 344.00
1010 211 1 12.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  16.42 -1.00 -1.00 -1.00 |  318.50 5084.00 342.50 1729.00 295.50 584.00
1013 211 1 16.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  15.60 -1.00 -1.00 -1.00 |  322.50 5302.00 346.50 1156.00 299.50 1011.00
1016 211 1 20.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  17.61 -1.00 -1.00 -1.00 |  326.50 5024.00 302.50 1631.00 350.50 719.00
1019 211 1 24.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.57 -1.00 -1.00 -1.00 |  330.50 4321.00 306.50 2530.00 353.50 483.00
1022 211 1 0.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  21.45 -1.00 -1.00 -1.00 |  307.50 3524.00 331.50 3105.00 284.50 302.00
1025 211 1 4.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  20.76 -1.00 -1.00 -1.00 |  311.50 4163.00 334.50 2447.00 287.50 439.00
1028 211 1 8.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  17.97 -1.00 -1.00 -1.00 |  315.50 4858.00 339.50 1610.00 292.50 686.00
1031 211 1 12.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  17.54 -1.00 -1.00 -1.00 |  318.50 4894.00 342.50 1122.00 295.50 1096.00
1034 211 1 16.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.30 -1.00 -1.00 -1.00 |  322.50 4677.00 299.50 1705.00 346.50 778.00
1037 211 1 20.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.59 -1.00 -1.00 -1.00 |  326.50 4132.00 302.50 2438.00 350.50 514.00
1040 211 1 24.00 |  1 2 761.00 3577.46 4244.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.61 -1.00 -1.00 -1.00 |  306.50 3371.00 330.50 3308.00 354.50 328.00
1042 13 1 0.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.55 -1.00 -1.00 -1.00 |  331.50 7176.00 355.50 1947.00 307.50 479.00
1045 13 1 4.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.27 -1.00 -1.00 -1.00 |  335.50 7568.00 358.50 1133.00 311.50 933.00
1048 13 1 8.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.93 -1.00 -1.00 -1.00 |  338.50 7537.00 315.50 1652.00 362.50 457.00
1051 13 1 12.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.66 -1.00 -1.00 -1.00 |  342.50 6768.00 319.50 2676.00 366.50 167.00
1054 13 1 16.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.55 -1.00 -1.00 -1.00 |  346.50 5445.00 322.50 4100.00 299.50 95.00
1057 13 1 20.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.59 -1.00 -1.00 -1.00 |  326.50 5591.00 350.50 3925.00 302.50 169.00
1060 13 1 24.00 |  1 2 800.00 3760.80 13135.86 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.85 -1.00 -1.00 -1.00 |  330.50 6884.00 354.50 2422.00 306.50 360.00
1063 13 1 16.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.09 -1.00 -1.00 -1.00 |  346.50 7119.00 322.50 2534.00 370.50 81.00
1066 13 1 20.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.35 -1.00 -1.00 -1.00 |  350.50 5639.00 326.50 4033.00 302.50 83.00
1069 13 1 24.00 |  1 2 810.00 3807.81 17548.97 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.34 -1.00 -1.00 -1.00 |  330.50 5862.00 353.50 3740.00 306.50 140.00
1072 13 1 0.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.63 -1.00 -1.00 -1.00 |  331.50 7370.00 355.50 1301.00 307.50 900.00
1075 13 1 4.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.43 -1.00 -1.00 -1.00 |  335.50 7377.00 311.50 1535.00 358.50 676.00
1078 13 1 8.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.10 -1.00 -1.00 -1.00 |  338.50 1973.00 315.50 801.00 362.50 85.00
1081 13 1 12.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.69 -1.00 -1.00 -1.00 |  342.50 1630.00 318.50 1197.00 366.50 32.00
1084 13 1 16.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.84 -1.00 -1.00 -1.00 |  322.50 1669.00 346.50 1145.00 299.50 62.00
1087 13 1 20.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.19 -1.00 -1.00 -1.00 |  326.50 2009.00 350.50 758.00 302.50 115.00
1090 13 1 24.00 |  1 2 790.00 3713.79 9832.52 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.84 -1.00 -1.00 -1.00 |  330.50 2164.00 353.50 453.00 306.50 244.00
1101 13 1 0.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.89 -1.00 -1.00 -1.00 |  330.50 2287.00 353.50 497.00 306.50 148.00
1104 13 1 4.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.03 -1.00 -1.00 -1.00 |  334.50 1868.00 311.50 823.00 358.50 134.00
1107 13 1 8.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.25 -1.00 -1.00 -1.00 |  338.50 1536.00 315.50 1221.00 362.50 56.00
1110 13 1 12.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.29 -1.00 -1.00 -1.00 |  318.50 1587.00 342.50 1155.00 295.50 78.00
1113 13 1 16.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.63 -1.00 -1.00 -1.00 |  322.50 1900.00 346.50 811.00 299.50 136.00
1116 13 1 20.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.66 -1.00 -1.00 -1.00 |  326.50 2059.00 350.50 544.00 302.50 253.00
1119 13 1 24.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.04 -1.00 -1.00 -1.00 |  330.50 2117.00 306.50 432.00 353.50 283.00
1129 13 1 0.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.76 -1.00 -1.00 -1.00 |  331.50 1742.00 307.50 917.00 355.50 147.00
1132 13 1 4.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.83 -1.00 -1.00 -1.00 |  334.50 1439.00 311.50 1237.00 358.50 81.00
1135 13 1 8.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.77 -1.00 -1.00 -1.00 |  315.50 1575.00 338.50 1117.00 291.50 97.00
1138 13 1 12.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.22 -1.00 -1.00 -1.00 |  318.50 1850.00 342.50 811.00 295.50 153.00
1141 13 1 16.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.03 -1.00 -1.00 -1.00 |  322.50 1985.00 346.50 503.00 299.50 320.00
1144 13 1 20.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.39 -1.00 -1.00 -1.00 |  326.50 1955.00 302.50 536.00 350.50 326.00
1147 13 1 24.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.05 -1.00 -1.00 -1.00 |  330.50 1760.00 306.50 871.00 353.50 191.00
1150 13 1 0.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.74 -1.00 -1.00 -1.00 |  331.50 1314.00 307.50 1220.00 355.50 92.00
1174 13 0 -1.00 |  1 2 680.00 3196.68 406.38 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  20.38 21.18 19.87 19.06 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1177 13 0 -1.00 |  1 2 700.00 3290.70 725.31 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  20.72 20.48 19.13 19.42 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1180 13 0 -1.00 |  1 2 720.00 3384.72 1294.53 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  18.10 17.75 16.20 16.59 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1183 13 0 -1.00 |  1 2 740.00 3478.74 2310.45 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  16.57 16.01 14.28 14.92 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1186 13 0 -1.00 |  1 2 760.00 3572.76 4123.67 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  14.63 14.20 12.22 12.72 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1189 13 0 -1.00 |  1 2 770.00 3619.77 5509.07 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  13.80 13.61 11.51 11.77 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1192 13 0 -1.00 |  1 2 780.00 3666.78 7359.90 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  12.82 12.56 10.27 10.59 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
