Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
1893 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.93 10.71 7.87 8.21 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1897 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.84 10.65 7.80 8.09 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1901 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.79 10.55 7.71 8.02 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1905 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  11.55 11.32 8.66 9.02 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1909 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  13.60 13.19 11.01 11.53 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1913 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 40 -1 -1 -1 -1 4 -1 1.20 |  10.75 10.66 7.86 7.97 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1917 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 50 -1 -1 -1 -1 4 -1 1.20 |  10.90 10.70 7.93 8.17 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1921 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 60 -1 -1 -1 -1 4 -1 1.20 |  10.86 10.67 7.88 8.12 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1925 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 70 -1 -1 -1 -1 4 -1 1.20 |  11.44 10.87 8.11 8.88 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1929 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 80 -1 -1 -1 -1 4 -1 1.20 |  11.26 11.15 8.49 8.64 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1933 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 90 -1 -1 -1 -1 4 -1 1.20 |  11.51 11.44 8.86 8.97 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1937 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 100 -1 -1 -1 -1 4 -1 1.20 |  13.31 11.13 8.45 11.18 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1941 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 110 -1 -1 -1 -1 4 -1 1.20 |  11.57 11.45 8.87 9.04 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1945 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 120 -1 -1 -1 -1 4 -1 1.20 |  11.42 11.32 8.72 8.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1949 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 130 -1 -1 -1 -1 4 -1 1.20 |  15.03 11.25 8.65 13.19 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1953 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 140 -1 -1 -1 -1 4 -1 1.20 |  15.66 11.62 9.08 13.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1957 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 150 -1 -1 -1 -1 4 -1 1.20 |  15.21 11.42 8.87 13.39 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1961 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 100 -1 -1 -1 -1 -1 4 -1 1.20 |  14.76 11.63 9.11 12.88 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1965 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 110 -1 -1 -1 -1 -1 4 -1 1.20 |  14.25 11.52 8.99 12.29 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1969 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 120 -1 -1 -1 -1 -1 4 -1 1.20 |  14.77 11.35 8.78 12.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1973 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 130 -1 -1 -1 -1 -1 4 -1 1.20 |  14.30 11.35 8.74 12.35 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1977 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 140 -1 -1 -1 -1 -1 4 -1 1.20 |  13.84 11.36 8.78 11.81 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1981 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 150 -1 -1 -1 -1 -1 4 -1 1.20 |  14.63 11.22 8.57 12.73 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1985 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 160 -1 -1 -1 -1 -1 4 -1 1.20 |  14.67 11.38 8.73 12.77 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1989 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 170 -1 -1 -1 -1 -1 4 -1 1.20 |  14.48 11.36 8.76 12.55 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1993 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 180 -1 -1 -1 -1 -1 4 -1 1.20 |  14.95 11.20 8.55 13.09 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1997 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 190 -1 -1 -1 -1 -1 4 -1 1.20 |  14.73 11.43 8.85 12.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2001 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 200 -1 -1 -1 -1 -1 4 -1 1.20 |  14.33 11.26 8.63 12.38 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2005 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 210 -1 -1 -1 -1 -1 4 -1 1.20 |  13.74 11.32 8.70 11.69 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2009 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | 220 -1 -1 -1 -1 -1 4 -1 1.20 |  14.59 11.32 8.73 12.68 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2013 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 100 -1 -1 -1 4 -1 1.20 |  13.92 11.30 8.68 11.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2017 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 110 -1 -1 -1 4 -1 1.20 |  14.79 11.15 8.54 12.91 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2021 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 120 -1 -1 -1 4 -1 1.20 |  14.38 11.26 8.64 12.44 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2025 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 130 -1 -1 -1 4 -1 1.20 |  14.32 11.18 8.53 12.37 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2029 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 140 -1 -1 -1 4 -1 1.20 |  15.70 11.55 8.97 13.94 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2033 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 150 -1 -1 -1 4 -1 1.20 |  14.55 11.58 9.03 12.63 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2037 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 160 -1 -1 -1 4 -1 1.20 |  13.99 11.37 8.75 11.99 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2041 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 170 -1 -1 -1 4 -1 1.20 |  13.70 11.32 8.72 11.64 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2045 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 180 -1 -1 -1 4 -1 1.20 |  15.00 11.47 8.92 13.15 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2049 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 190 -1 -1 -1 4 -1 1.20 |  14.41 11.44 8.89 12.48 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2053 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 200 -1 -1 -1 4 -1 1.20 |  13.42 11.30 8.66 11.32 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2057 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 35 4 -1 1.20 |  15.51 11.83 9.39 13.73 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2061 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 45 4 -1 1.20 |  15.47 11.79 9.32 13.68 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2065 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 55 4 -1 1.20 |  16.31 11.65 9.09 14.63 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2069 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 65 4 -1 1.20 |  15.31 11.43 8.85 13.50 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2073 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  14.12 11.32 8.75 12.14 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2077 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 85 4 -1 1.20 |  14.13 11.44 8.87 12.15 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2081 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 95 4 -1 1.20 |  13.48 11.48 8.91 11.39 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2085 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 105 4 -1 1.20 |  13.13 11.45 8.86 10.97 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2089 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 115 4 -1 1.20 |  14.63 11.50 8.93 12.72 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2093 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 125 4 -1 1.20 |  16.75 11.54 8.96 15.11 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2097 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 135 4 -1 1.20 |  22.30 11.53 8.97 21.10 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2101 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  13.92 11.46 8.90 11.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2105 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  14.72 11.39 8.79 12.83 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2109 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  15.16 11.44 8.89 13.33 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2113 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  15.01 11.38 8.82 13.16 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2117 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  14.91 11.49 8.91 13.05 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2121 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  15.05 11.29 8.69 13.21 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2125 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  13.67 11.40 8.81 11.61 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2129 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  14.07 11.30 8.69 12.08 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2133 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  14.61 11.32 8.70 12.71 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2137 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  13.59 11.39 8.83 11.52 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
