Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
1590 211 1 20.00 |  8 2 788.00 3704.39 5352.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.48 -1.00 -1.00 -1.00 |  324.50 3344.00 348.50 1334.00 301.50 87.00
1591 211 1 24.00 |  8 2 788.00 3704.39 5352.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.03 -1.00 -1.00 -1.00 |  328.50 3906.00 352.50 673.00 305.50 211.00
1594 211 1 0.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.59 -1.00 -1.00 -1.00 |  329.50 3626.00 353.50 957.00 306.50 119.00
1595 211 1 4.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  9.04 -1.00 -1.00 -1.00 |  333.50 4004.00 357.50 471.00 310.50 214.00
1598 211 1 8.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  9.04 -1.00 -1.00 -1.00 |  337.50 4025.00 313.50 497.00 360.50 205.00
1599 211 1 12.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.39 -1.00 -1.00 -1.00 |  341.50 3640.00 317.50 1006.00 364.50 71.00
1602 211 1 16.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.86 -1.00 -1.00 -1.00 |  344.50 2816.00 321.50 1870.00 368.50 19.00
1603 211 1 20.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.17 -1.00 -1.00 -1.00 |  324.50 2763.00 348.50 1889.00 301.50 50.00
1606 211 1 24.00 |  8 2 798.00 3751.40 6996.63 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.93 -1.00 -1.00 -1.00 |  328.50 2983.00 352.50 837.00 305.50 70.00
1608 211 1 0.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  14.04 -1.00 -1.00 -1.00 |  329.50 2805.00 353.50 1058.00 306.50 54.00
1609 211 1 4.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.03 -1.00 -1.00 -1.00 |  333.50 3299.00 357.50 518.00 310.50 102.00
1612 211 1 8.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  15.59 -1.00 -1.00 -1.00 |  337.50 3401.00 360.50 248.00 313.50 215.00
1613 211 1 12.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.17 -1.00 -1.00 -1.00 |  341.50 3304.00 317.50 499.00 364.50 92.00
1616 211 1 16.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  10.69 -1.00 -1.00 -1.00 |  345.50 3535.00 321.50 1222.00 368.50 35.00
1617 211 1 20.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.02 -1.00 -1.00 -1.00 |  348.50 2548.00 325.50 2241.00 301.50 21.00
1620 211 1 24.00 |  8 2 809.00 3803.11 9394.26 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.53 -1.00 -1.00 -1.00 |  328.50 3258.00 352.50 1605.00 305.50 36.00
1622 211 1 0.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.93 -1.00 -1.00 -1.00 |  329.50 2850.00 353.50 1889.00 306.50 27.00
1623 211 1 4.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  13.00 -1.00 -1.00 -1.00 |  333.50 3142.00 357.50 856.00 309.50 56.00
1626 211 1 8.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  8.28 -1.00 -1.00 -1.00 |  337.50 4139.00 360.50 473.00 313.50 135.00
1627 211 1 12.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  7.29 -1.00 -1.00 -1.00 |  341.50 4302.00 317.50 318.00 364.50 139.00
1630 211 1 16.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  8.76 -1.00 -1.00 -1.00 |  344.50 3803.00 321.50 575.00 368.50 45.00
1631 211 1 20.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  11.13 -1.00 -1.00 -1.00 |  348.50 3171.00 324.50 1183.00 301.50 24.00
1634 211 1 24.00 |  8 2 819.00 3850.12 12280.10 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  12.80 -1.00 -1.00 -1.00 |  328.50 2189.00 352.50 2177.00 305.50 42.00
1644 13 1 14.00 |  5 3 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  6.03 -1.00 -1.00 -1.00 |  342.50 16314.00 319.50 758.00 366.50 385.00
1648 13 0 -1.00 |  5 3 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  9.35 9.15 5.75 5.95 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1652 13 0 -1.00 |  5 1 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  9.78 9.48 6.26 6.60 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1664 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 4 -1 1.20 |  10.51 10.37 7.47 7.65 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1672 13 1 6.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  9.41 -1.00 -1.00 -1.00 |  335.50 15461.00 358.50 1919.00 311.50 1002.00
1677 13 1 0.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.39 -1.00 -1.00 -1.00 |  282.50 285.00 306.50 260.00 329.50 58.00
1680 13 1 4.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.21 -1.00 -1.00 -1.00 |  286.50 300.00 309.50 272.00 262.50 81.00
1693 13 1 8.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.58 -1.00 -1.00 -1.00 |  290.50 296.00 313.50 204.00 266.50 104.00
1696 13 1 12.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.62 -1.00 -1.00 -1.00 |  293.50 288.00 270.50 169.00 317.50 163.00
1697 13 1 16.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.75 -1.00 -1.00 -1.00 |  297.50 267.00 274.50 168.00 321.50 128.00
1698 211 1 0.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  20.14 -1.00 -1.00 -1.00 |  306.50 244.00 282.50 197.00 329.50 78.00
1701 211 1 4.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  20.74 -1.00 -1.00 -1.00 |  310.50 248.00 286.50 201.00 262.50 73.00
1702 211 1 8.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  20.86 -1.00 -1.00 -1.00 |  290.50 252.00 313.50 221.00 266.50 107.00
1705 211 1 12.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  21.15 -1.00 -1.00 -1.00 |  293.50 228.00 317.50 194.00 270.50 128.00
